SubmitTime RunTime JobID UserID PeerID TraceID Cluster.IAT Cluster.JRT Cluster.TRT
3863 33 1 U1 P1 gwa-t1 C2 C1 C1
3863 8 1 U1 P1 gwa-t1 C2 C1 C1
5310 16 2 U1 P1 gwa-t1 C2 C1 C1
5310 10 2 U1 P1 gwa-t1 C2 C1 C1
5310 3 2 U1 P1 gwa-t1 C2 C1 C1
5310 76 2 U1 P1 gwa-t1 C2 C1 C1
5790 6 3 U1 P1 gwa-t1 C2 C1 C1
5790 49 3 U1 P1 gwa-t1 C2 C1 C1
5790 19 3 U1 P1 gwa-t1 C2 C1 C1
5790 23 3 U1 P1 gwa-t1 C2 C1 C1
5790 11 3 U1 P1 gwa-t1 C2 C1 C1
5790 6 3 U1 P1 gwa-t1 C2 C1 C1
5790 21 3 U1 P1 gwa-t1 C2 C1 C1
5790 98 3 U1 P1 gwa-t1 C2 C1 C1
5790 65 3 U1 P1 gwa-t1 C2 C1 C1
6207 26 4 U1 P1 gwa-t1 C2 C1 C1
6207 332 4 U1 P1 gwa-t1 C2 C1 C1
6207 42 4 U1 P1 gwa-t1 C2 C1 C1
6207 94 4 U1 P1 gwa-t1 C2 C1 C1
7914 23 5 U1 P1 gwa-t1 C2 C1 C1
7914 74 5 U1 P1 gwa-t1 C2 C1 C1
7914 34 5 U1 P1 gwa-t1 C2 C1 C1
7914 123 5 U1 P1 gwa-t1 C2 C1 C1
7914 58 5 U1 P1 gwa-t1 C2 C1 C1
7914 281 5 U1 P1 gwa-t1 C2 C1 C1
8952 10 6 U1 P1 gwa-t1 C2 C1 C1
8952 20 6 U1 P1 gwa-t1 C2 C1 C1
8952 41 6 U1 P1 gwa-t1 C2 C1 C1
8952 20 6 U1 P1 gwa-t1 C2 C1 C1
16163 450 7 U1 P1 gwa-t1 C2 C1 C1
16163 9 7 U1 P1 gwa-t1 C2 C1 C1
16163 54 7 U1 P1 gwa-t1 C2 C1 C1
16163 4 7 U1 P1 gwa-t1 C2 C1 C1
16163 406 7 U1 P1 gwa-t1 C2 C1 C1
16163 7 7 U1 P1 gwa-t1 C2 C1 C1
16163 2 7 U1 P1 gwa-t1 C2 C1 C1
16163 13 7 U1 P1 gwa-t1 C2 C1 C1
16163 22 7 U1 P1 gwa-t1 C2 C1 C1
16163 285 7 U1 P1 gwa-t1 C2 C1 C1
16163 18 7 U1 P1 gwa-t1 C2 C1 C1
16163 427 7 U1 P1 gwa-t1 C2 C1 C1
16163 33 7 U1 P1 gwa-t1 C2 C1 C1
16163 14 7 U1 P1 gwa-t1 C2 C1 C1
16163 4 7 U1 P1 gwa-t1 C2 C1 C1
16163 20 7 U1 P1 gwa-t1 C2 C1 C1
16163 149 7 U1 P1 gwa-t1 C2 C1 C1
16163 5 7 U1 P1 gwa-t1 C2 C1 C1
16163 5 7 U1 P1 gwa-t1 C2 C1 C1
16163 86 7 U1 P1 gwa-t1 C2 C1 C1
16163 15 7 U1 P1 gwa-t1 C2 C1 C1
